Product_Name,Product_Brand,Product_Price,Product_Image_Url,Product_Url
RIPNDIP Psychedelic 154 2021 Snowboard,RIPNDIP,€ 34995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/RIPNDIP-Psychedelic+154+2021+Snowboard-626368/
Nitro Team TLS 2021,Nitro,€ 39995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Nitro-Team+TLS+2021+Snowboardboots-620651/
Oakley Flight Tracker XM Balsam Lavender Camo,Oakley,€ 16995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Oakley-Flight+Tracker+XM+Balsam+Lavender+Camo+Goggle-624194/
DEELUXE Team ID LTD. PF 2021,DEELUXE,€ 28995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/DEELUXE-Team+ID+LTD+PF+2021+Snowboardboots-615588/
Anon M4 Toric Black (+Bonus Lens) + MFI,Anon,€ 28995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Anon-M4+Toric+Black+Bonus+Lens+MFI+Goggle-625861/
Lib Tech Travis Rice Orca 156 2021,Lib Tech,€ 64995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Lib+Tech-Travis+Rice+Orca+156+2021+Snowboard-628803/
Burton Photon BOA Snowboard Boots,Burton,€ 35995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Burton-Photon+BOA+Snowboard+Boots-567043/
Union Atlas 2021,Union,€ 29995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Union-Atlas+2021+Snowboardbindung-618605/
Salomon Pulse LTD 162W + Rhythm L 2021 Snowboard Set,Salomon,€ 39995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Salomon-Pulse+LTD+162W+Rhythm+L+2021+Snowboard+Set-630782/
Burton Ion Boa 2021,Burton,€ 44995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Burton-Ion+Boa+2021+Snowboardboots-622767/
